TWITTER — Username OSINT Data Point Map,,,,,,
Tab 2 of Username_OSINT_DataPoints.xlsx — classic timeline / tweet surface,,,,,,
,,,,,,
#,DATA POINT,INVESTIGATIVE VALUE,DIFFICULTY,TECHNICAL APPROACH,LEGAL CONSIDERATIONS,PRIORITY
1,Handle (@username),Primary identifier — match same handle across platforms,Easy,API,None,P0
2,Display Name,"Real identity clue, often differs from handle",Easy,API,None,P0
3,Bio Text,"Email, links, self-description, affiliation clues",Easy,Scrape,Public data,P0
4,Profile Picture,"Reverse image search, cross-platform face match",Easy,Download,Public data,P0
5,Header / Banner Image,"Extra visual clues — events, brands, locations",Easy,Download,Public data,P1
6,Location Field,Self-declared location — verify against post locations,Easy,Scrape,Public (self-reported),P1
7,Website / Link in Bio,"Leads to personal site, business, other socials",Easy,Scrape,Public data,P0
8,Joined Date,Account age vs. incident timeline,Easy,API,None,P1
9,Followers Count,"Influence and bot-ratio detection, gauge reach",Easy,API,None,P0
10,Following Count,Bot detection — mass-follow patterns,Easy,API,None,P0
11,Tweet Count,"Account activity level, posting frequency",Easy,API,None,P0
12,Verified Badge,Identity confirmation (note: paid badges reduce reliability now),Easy,API,None,P1
13,Pinned Tweet,Priority content subject wants visible,Easy,Scrape,Public content,P1
14,Tweet Content (Text),"Opinions, plans, associates, communication style",Medium,Scrape / API,Public content,P0
15,Tweet Media (Images/Video),"Visual evidence, location clues, EXIF if not stripped",Medium,Scrape / API,Public content,P0
16,Hashtags Used,Interest / community / campaign mapping,Easy,Scrape,Public data,P0
17,@Mentions in Tweets,Communication network — who they talk to/about,Easy,Scrape,Public data,P1
18,Replies Made,"Communication style, disputes, associates",Medium,Scrape,Public content,P1
19,Retweets / Reposts,Ideas/sources subject amplifies — ideology clues,Medium,Scrape,Public content,P1
20,Quote Tweets,Subject's commentary on others' content,Medium,Scrape,Public content,P1
21,Likes (Liked Tweets Tab),Hidden interest graph — what subject privately agrees with,Hard,Scrape,Often hidden by user setting,P2
22,Lists (Created / Member of),"Network/community grouping, professional affiliations",Medium,Scrape,Public if list is public,P2
23,Tweet Timestamps,"Time-zone detection, activity pattern, sleep/wake cycle",Easy,Scrape,Public data,P1
24,Tweet Location Tag (if added),Physical location history,Medium,Scrape,Public if geotagging enabled,P1
25,Spaces Hosted / Joined,"Live audio activity — associates, topics discussed",Hard,Scrape / recording,Only if recorded/public,P2
26,Protected / Private Account Flag,Determines legality/possibility of further scraping,Easy,API,Public flag,P0
27,Followers List,Full network map,Impossible,Not feasible at scale,"Rate limited, login required",P2
28,Following List,Associates and interests,Impossible,Not feasible at scale,"Rate limited, login required",P2
29,Direct Message Content,"Evidence of planning, threats, deals",Impossible,Not accessible,"Private, court order required",P2
30,Phone/Email used for Signup,Real identity — strongest possible link,Impossible,Not accessible,Only platform/court order,P2
31,Login IP / Device Info,"Geolocation, device fingerprint",Impossible,Not accessible,Only platform/court order,P2
32,LinkedIn Profile Link in Bio,Cross-platform identity anchor — same person confirmed across professional + social,Easy,Scrape,Public data,P0
33,Work/Employer Mentioned in Bio,Employer disclosed voluntarily — enables LinkedIn reverse search by company+name,Easy,Scrape,Public data,P1
